codigo,nombre_producto,tipo_envase,destino,posibles_lineas_produccion
4-03-5806-1295,RON VIEJO DE CALDAS 8 AÑOS 750 VIDRIO 40° NP,750CV-8,PANAMA,4
4-03-5806-1296,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 750VIDRIO40° NP,750CV-15,PANAMA,4
4-03-5806-1314,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40° EST+2 VASOS ,750NI,PANAMA,2
4-01-5806-1297,AGUARDIENTE AMARILLO DE MANZANARES SA 750 VIDRIO 24°,750CV-A,PANAMA,4
4-01-5806-1362,AGUARDIENTE AMARILLO DE MANZANARES SA 1000 VIDRIO 24°,1000CV-A,PANAMA,3
4-01-5806-1348,AGUARDIENTE AMARILLO DE MANZANARES SA 375 VIDRIO 24°,375CV-A,PANAMA,4
4-01-5806-1361,AGUARDIENTE AMARILLO DE MANZANARES SA 1500 VIDRIO 24°,1500CV-A,PANAMA,4
4-01-5805-1082,AGUARDIENTE CRISTAL SIN AZUCAR AZUL 375 VIDRIO 30°,375V2,PANAMA,1
4-03-5890-0567,RON VIEJO DE CALDAS 8 AÑOS 750 VIDRIO 40°,750CV-8,PERÚ,4
4-03-5890-0576,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 750 VIDRIO 40°,750CV-15,PERÚ,4
4-03-5890-0866,RON VIEJO DE CALDAS ROBLE BLANCO 750 VIDRIO 40°,750NI,PERÚ,1
4-03-6760-0629,RON VIEJO DE CALDAS 3 AÑOS 700 VIDRIO 40°,700NI,RUSIA,2
4-03-6760-0630,RON VIEJO DE CALDAS 5 AÑOS 700 VIDRIO 40°,700NI,RUSIA,2
4-03-6440-0902,RON VIEJO DE CALDAS 5 AÑOS 700 VIDRIO 40°,700NI,REPUBLICA CHECA,2
4-03-6760-0631,RON VIEJO DE CALDAS 8 AÑOS 700 VIDRIO 40°,700CV-8,RUSIA,4
4-07-0000-1031,SEMITERMINADO GIN BOSQUE DE INDIAS 700 VIDRIO 37.5°,700GIN,UNIVERSAL,4
4-07-0777-0992,GINEBRA 700 VIDRIO 37.5°,700GIN,UNIVERSAL,4
4-05-0880-1018,LICOR DE RON VIEJO DE CALDAS ESENCIAL 375 VIDRIO 29°,375NI,SAN ANDRES,3
4-07-0880-1020,GIN BOSQUE DE INDIAS 700 VIDRIO 37.5°,700GIN,SAN ANDRES,4
4-07-0777-1047,GIN BOSQUE DE INDIAS 50 SHOT 37.5° 12X10 UND,50P,UNIVERSAL,SHOT
